player_id,player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
1084638,Karim Coulibaly,18,Germany,Werder Bremen,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/1084638-1756027638.jpg?lm=1
897424,Assan Ouédraogo,19,Germany,Leipzig,2024,2025,13,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/897424-1759779834.jpg?lm=1
1168219,Said El Mala,19,Germany,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/1168219-1761497362.jpg?lm=1
667457,Leon Avdullahu,21,Kosovo,Hoffenheim,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/667457-1755091730.jpg?lm=1
787151,Lukas Ullrich,21,Germany,Mönchengladbach,2023,2025,40,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/787151-1691248738.jpg?lm=1
1035765,Ilyas Ansah,21,Germany,Union Berlin,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/1035765-1755624476.jpg?lm=1
579565,Ísak Jóhannesson,22,Iceland,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/579565-1722890599.jpg?lm=1
566723,Michael Olise,23,France,Bayern Munich,2024,2025,44,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/566723-1725873883.jpg?lm=1
579287,Daniel Svensson,23,Sweden,Dortmund,2024,2025,22,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/579287-1739179044.jpg?lm=1
404950,Nicolas Seiwald,24,Austria,Leipzig,2023,2025,61,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/404950-1716315232.jpg?lm=1
643574,Kaishu Sano,24,Japan,Mainz,2024,2025,44,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/643574-1752587688.jpg?lm=1
346853,Romano Schmid,25,Austria,Werder Bremen,2022,2025,102,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/346853-1730117104.jpg?lm=1
346853,Romano Schmid,20,Austria,Werder Bremen,2020,2020,22,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/346853-1730117104.jpg?lm=1
368891,Arthur Theate,25,Belgium,Frankfurt,2024,2025,41,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/368891-1757597860.jpg?lm=1
746910,Mohamed Amoura,25,Algeria,Wolfsburg,2024,2025,41,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/746910-1724771303.jpg?lm=1
522223,Connor Metcalfe,26,Australia,St. Pauli,2024,2025,20,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/522223-1755033011.jpg?lm=1
564545,Edmond Tapsoba,26,Burkina Faso,Leverkusen,2019,2025,167,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/564545-1695368009.jpg?lm=1
257814,Gregor Kobel,27,Switzerland,Dortmund,2021,2025,125,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/257814-1709559904.jpg?lm=1
318204,David Raum,27,Germany,Leipzig,2022,2025,91,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/318204-1713945422.jpg?lm=1
223967,Konrad Laimer,28,Austria,Bayern Munich,2023,2025,68,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/223967-1700659266.jpg?lm=1
480692,Luis Díaz,28,Colombia,Bayern Munich,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/480692-1757938077.jpg?lm=1
192635,Nico Elvedi,29,Switzerland,Mönchengladbach,2015,2025,295,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/192635-1691249306.jpg?lm=1
161056,Joshua Kimmich,30,Germany,Bayern Munich,2015,2025,305,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/161056-1700039639.jpg?lm=1
93740,Willi Orbán,33,Hungary,Leipzig,2016,2025,236,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/93740-1724337179.jpg?lm=1
46580,Andrej Kramaric,34,Croatia,Hoffenheim,2015,2025,296,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/46580-1755089885.jpg?lm=1
55089,Oliver Baumann,35,Germany,Hoffenheim,2014,2025,368,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/55089-1755090197.jpg?lm=1
796297,Jobe Bellingham,20,England,Dortmund,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/796297-1745646967.jpg?lm=1
407098,Jakub Kaminski,23,Poland,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/407098-1752743041.jpg?lm=1
496094,Karim Adeyemi,23,Germany,Dortmund,2022,2025,80,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/496094-1712859708.jpg?lm=1
524290,Fisnik Asllani,23,Kosovo,Hoffenheim,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/524290-1755090506.jpg?lm=1
524290,Fisnik Asllani,19,Kosovo,Hoffenheim,2021,2022,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/524290-1755090506.jpg?lm=1
434116,Alexander Prass,24,Austria,Hoffenheim,2024,2025,33,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/434116-1723921044.jpg?lm=1
324278,Christoph Baumgartner,26,Austria,Leipzig,2023,2025,73,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/324278-1716315718.jpg?lm=1
358504,Ritsu Doan,27,Japan,Frankfurt,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/358504-1757597784.jpg?lm=1
346499,Danel Sinani,28,Luxembourg,St. Pauli,2024,2025,36,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/346499-1755033100.jpg?lm=1
193004,Waldemar Anton,29,Germany,Dortmund,2024,2025,36,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/193004-1723922551.jpg?lm=1
248454,Nikola Vasilj,29,Bosnia-Herzegovina,St. Pauli,2024,2025,43,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/248454-1755032189.jpg?lm=1
335209,Kevin Diks,29,Indonesia,Mönchengladbach,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/335209-1760966816.jpg?lm=1
127573,Phillipp Mwene,31,Austria,Mainz,2023,2025,65,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/127573-1722886402.jpg?lm=1
127573,Phillipp Mwene,26,Austria,Mainz,2018,2020,30,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/127573-1722886402.jpg?lm=1
132098,Harry Kane,32,England,Bayern Munich,2023,2025,73,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/132098-1700211169.jpg?lm=1
1390649,Yan Diomande,18,Cote d'Ivoire,Leipzig,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/1390649-1759779499.jpg?lm=1
744728,Arijon Ibrahimovic,19,Germany,Heidenheim,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/744728-1755088466.jpg?lm=1
697277,Joel Chima Fujita,23,Japan,St. Pauli,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/697277-1755032962.jpg?lm=1
620217,Robin Hranac,25,Czech Republic,Hoffenheim,2024,2025,14,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/620217-1713471898.jpg?lm=1
298603,Miro Muheim,27,Switzerland,Hamburg,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/298603-1728395082.jpg?lm=1
327251,Ridle Baku,27,Germany,Leipzig,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/327251-1657203077.jpg?lm=1
261504,Aleix García,28,Spain,Leverkusen,2024,2025,38,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/261504-1727378020.jpg?lm=1
232454,Nadiem Amiri,29,Germany,Mainz,2024,2025,40,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/232454-1722885996.jpg?lm=1
157672,Vladimír Coufal,33,Czech Republic,Hoffenheim,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/157672-1755091456.jpg?lm=1
1067904,Bazoumana Touré,19,Cote d'Ivoire,Hoffenheim,2024,2025,23,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/1067904-1755092124.jpg?lm=1
691892,Nathaniel Brown,22,Germany,Frankfurt,2024,2025,36,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/691892-1724772335.jpg?lm=1
443710,Angelo Stiller,24,Germany,Stuttgart,2023,2025,74,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/443710-1753308094.jpg?lm=1
592387,Sebastian Sebulonsen,25,Norway,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/592387-1752841294.jpg?lm=1
346551,Kamil Grabara,26,Poland,Wolfsburg,2024,2025,39,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/346551-1724770843.jpg?lm=1
328784,Robin Koch,29,Germany,Frankfurt,2023,2025,71,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/328784-1753984898.jpg?lm=1
597432,Leopold Querfeld,21,Austria,Union Berlin,2024,2025,37,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/597432-1726351317.jpg?lm=1
743500,William Mikelbrencis,21,France,Hamburg,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/743500-1758189301.jpg?lm=1
569033,Armindo Sieb,22,Germany,Mainz,2024,2025,37,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/569033-1722886149.jpg?lm=1
429874,Ansgar Knauff,23,Germany,Frankfurt,2022,2025,95,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/429874-1663065826.jpg?lm=1
467434,Rocco Reitz,23,Germany,Mönchengladbach,2022,2025,72,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/467434-1760966939.jpg?lm=1
467434,Rocco Reitz,18,Germany,Mönchengladbach,2020,2020,2,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/467434-1760966939.jpg?lm=1
526845,Noah Atubolu,23,Germany,Freiburg,2023,2025,70,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/526845-1753984204.jpg?lm=1
569383,Chrislain Matsima,23,France,Augsburg,2024,2025,40,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/569383-1755200922.jpg?lm=1
597000,Eric Martel,23,Germany,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/597000-1657110079.jpg?lm=1
597000,Eric Martel,21,Germany,1.FC Köln,2022,2023,59,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/597000-1657110079.jpg?lm=1
605265,Louis Oppie,23,Germany,St. Pauli,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/605265-1755032713.jpg?lm=1
616344,Tiago Tomás,23,Portugal,Stuttgart,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/616344-1695623995.jpg?lm=1
616344,Tiago Tomás,20,Portugal,Stuttgart,2021,2022,41,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/616344-1695623995.jpg?lm=1
957874,Rômulo,23,Brazil,Leipzig,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/957874-1761551454.jpg?lm=1
448705,Diant Ramaj,24,Germany,Heidenheim,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/448705-1755088320.jpg?lm=1
470038,Ransford Königsdörffer,24,Ghana,Hamburg,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/470038-1758189531.jpg?lm=1
536508,Han-Noah Massengo,24,France,Augsburg,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/536508-1755200310.jpg?lm=1
596153,Justin Njinmah,24,Germany,Werder Bremen,2023,2025,60,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/596153-1722887298.jpg?lm=1
406640,Felix Nmecha,25,Germany,Dortmund,2023,2025,56,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/406640-1709560961.jpg?lm=1
592534,Nicolai Remberg,25,Germany,Hamburg,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/592534-1758188560.jpg?lm=1
694507,Rayan Philippe,25,France,Hamburg,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/694507-1758188945.jpg?lm=1
391780,Derrick Köhn,26,Ghana,Union Berlin,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/391780-1707464358.png?lm=1
663581,Vini Souza,26,Brazil,Wolfsburg,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/663581-1752736121.jpg?lm=1
251299,Finn Dahmen,27,Germany,Augsburg,2023,2025,60,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/251299-1755200500.jpg?lm=1
264960,Robin Fellhauer,27,Germany,Augsburg,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/264960-1755201733.jpg?lm=1
322517,Joël Schmied,27,Switzerland,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/322517-1752737253.jpg?lm=1
387047,Danilho Doekhi,27,Netherlands,Union Berlin,2022,2025,93,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/387047-1692707468.jpg?lm=1
388294,Omar Traoré,27,Germany,Heidenheim,2023,2025,71,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/388294-1690186175.jpg?lm=1
391766,Marco Grüll,27,Austria,Werder Bremen,2024,2025,40,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/391766-1756027360.jpg?lm=1
416380,Ragnar Ache,27,Germany,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/416380-1752742777.jpg?lm=1
190284,Maximilian Eggestein,28,Germany,Freiburg,2021,2025,138,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/190284-1723189965.jpg?lm=1
284270,Moritz Nicolas,28,Germany,Mönchengladbach,2023,2025,56,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/284270-1722945496.jpg?lm=1
292534,Eric Smith,28,Sweden,St. Pauli,2024,2025,42,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/292534-1755032356.jpg?lm=1
424072,Mathias Pereira Lage,28,Portugal,St. Pauli,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/424072-1755031981.jpg?lm=1
192169,Jonas Föhrenbach,29,Germany,Heidenheim,2023,2025,70,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/192169-1755087596.jpg?lm=1
195778,Alexander Nübel,29,Germany,Stuttgart,2023,2025,74,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/195778-1691998861.jpg?lm=1
117478,Marnon Busch,30,Germany,Heidenheim,2023,2025,49,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/117478-1755087683.jpg?lm=1
160929,Marvin Schwäbe,30,Germany,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/160929-1721140634.jpg?lm=1
160929,Marvin Schwäbe,28,Germany,1.FC Köln,2021,2023,89,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/160929-1721140634.jpg?lm=1
234029,Grischa Prömel,30,Germany,Hoffenheim,2022,2025,58,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/234029-1755091326.jpg?lm=1
364258,Bernardo,30,Brazil,Hoffenheim,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/364258-1691250245.jpg?lm=1
124410,Rani Khedira,31,Germany,Union Berlin,2021,2025,127,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/124410-1692707430.jpg?lm=1
124502,Matthias Ginter,31,Germany,Freiburg,2022,2025,99,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/124502-1753984264.jpg?lm=1
124502,Matthias Ginter,19,Germany,Freiburg,2011,2013,70,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/124502-1753984264.jpg?lm=1
133731,Patrick Mainka,31,Germany,Heidenheim,2023,2025,78,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/133731-1755087959.jpg?lm=1
177779,Janik Haberer,31,Germany,Union Berlin,2022,2025,91,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/177779-1692707721.jpg?lm=1
84993,Daniel Heuer Fernandes,32,Portugal,Hamburg,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/84993-1758189215.jpg?lm=1
85906,Danny da Costa,32,Germany,Mainz,2022,2025,77,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/85906-1752588257.jpg?lm=1
85906,Danny da Costa,26,Germany,Mainz,2020,2020,22,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/85906-1752588257.jpg?lm=1
125714,Mark Flekken,32,Netherlands,Leverkusen,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/125714-1758704276.jpg?lm=1
