player_id,player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
956920,Nestory Irankunda,19,Australia,Watford,2025,2025,15,Championship,https://img.a.transfermarkt.technology/portrait/medium/956920-1739808530.jpg?lm=1
612749,Isaac Price,22,Northern Ireland,West Brom,2024,2025,30,Championship,https://img.a.transfermarkt.technology/portrait/medium/612749-1684327909.jpg?lm=1
747267,Tyreece Campbell,22,Jamaica,Charlton,2025,2025,15,Championship,https://img.a.transfermarkt.technology/portrait/medium/747267-1746349431.jpg?lm=1
433991,Ethan Galbraith,24,Northern Ireland,Swansea,2025,2025,15,Championship,https://img.a.transfermarkt.technology/portrait/medium/433991-1629189986.jpg?lm=1
406008,Yan Valery,26,Tunisia,Sheff Wed,2024,2025,54,Championship,https://img.a.transfermarkt.technology/portrait/medium/406008-1672669807.jpg?lm=1
255788,Cameron Burgess,30,Australia,Swansea,2025,2025,15,Championship,https://img.a.transfermarkt.technology/portrait/medium/255788-1664180001.jpg?lm=1
871170,Bailey Cadamarteri,20,Jamaica,Sheff Wed,2025,2025,15,Championship,https://img.a.transfermarkt.technology/portrait/medium/871170-1723553737.jpg?lm=1
871170,Bailey Cadamarteri,18,Jamaica,Sheff Wed,2023,2023,23,Championship,https://img.a.transfermarkt.technology/portrait/medium/871170-1723553737.jpg?lm=1
670848,Divin Mubama,21,England,Stoke City,2025,2025,15,Championship,https://img.a.transfermarkt.technology/portrait/medium/670848-1667548750.jpg?lm=1
745851,Sydie Peck,21,England,Sheff Utd,2024,2025,57,Championship,https://img.a.transfermarkt.technology/portrait/medium/745851-1709625549.jpg?lm=1
496659,Ben Cabango,25,Wales,Swansea,2019,2025,226,Championship,https://img.a.transfermarkt.technology/portrait/medium/496659-1668519719.jpg?lm=1
475416,Sorba Thomas,26,Wales,Stoke City,2025,2025,15,Championship,https://img.a.transfermarkt.technology/portrait/medium/475416-1668520548.jpg?lm=1
365172,Patson Daka,27,Zambia,Leicester,2025,2025,15,Championship,https://img.a.transfermarkt.technology/portrait/medium/365172-1638810490.jpg?lm=1
365172,Patson Daka,24,Zambia,Leicester,2023,2023,20,Championship,https://img.a.transfermarkt.technology/portrait/medium/365172-1638810490.jpg?lm=1
243591,Lawrence Vigouroux,31,Chile,Swansea,2024,2025,61,Championship,https://img.a.transfermarkt.technology/portrait/medium/243591-1724941751.jpg?lm=1
