player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Kristian Hlynsson,21,Iceland,Twente FC,2025,2025,12,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/694186-1701700655.jpg?lm=1
Oscar Gloukh,21,Israel,Ajax,2025,2025,12,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/930571-1754993380.png?lm=1
Ismael Saibari,24,Morocco,PSV,2022,2025,77,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/702869-1687426997.jpg?lm=1
Ismael Saibari,19,Morocco,PSV,2020,2020,1,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/702869-1687426997.jpg?lm=1
Yarek Gasiorowski,20,Spain,PSV,2025,2025,12,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/895334-1730461387.jpg?lm=1
Thom van Bergen,21,Netherlands,FC Groningen,2024,2025,46,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/671738-1723455824.jpg?lm=1
Thom van Bergen,18,Netherlands,FC Groningen,2022,2022,12,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/671738-1723455824.jpg?lm=1
Tyrese Noslin,23,Curacao,Telstar,2025,2025,12,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/708005-1745233657.jpg?lm=1
Matej Kovar,25,Czech Republic,PSV,2025,2025,12,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/550829-1727378079.jpg?lm=1
Sherel Floranus,27,Curacao,PEC Zwolle,2025,2025,12,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/315211-1755786473.jpg?lm=1
Ayase Ueda,27,Japan,Feyenoord,2023,2025,59,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/589128-1717664709.jpg?lm=1
Mats Rots,19,Netherlands,Twente FC,2023,2025,28,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/983677-1704711113.jpg?lm=1
Thijmen Blokzijl,20,Netherlands,FC Groningen,2024,2025,40,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/719209-1723455718.jpg?lm=1
Thijmen Blokzijl,17,Netherlands,FC Groningen,2022,2022,15,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/719209-1723455718.jpg?lm=1
Wouter Goes,21,Netherlands,AZ Alkmaar,2022,2025,61,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/646707-1753350086.jpg?lm=1
Jorg Schreuders,21,Netherlands,FC Groningen,2024,2025,44,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/671735-1723456340.jpg?lm=1
Jorg Schreuders,17,Netherlands,FC Groningen,2022,2022,5,Eredivisie,https://img.a.transfermarkt.technology/portrait/medium/671735-1723456340.jpg?lm=1
