player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Aingeru Olabarrieta,19,Spain,FC Andorra,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1056971-1709678151.png?lm=1
Min-su Kim,19,"Korea, South",FC Andorra,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1108203-1730843338.jpg?lm=1
Gorka Gorosabel,19,Spain,Real Sociedad B,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Jeremy Arévalo,20,Ecuador,Racing,2023,2025,32,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/971663-1762250473.jpg?lm=1
Gorka Carrera,20,Spain,Real Sociedad B,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Oscar Naasei,20,Ghana,Granada CF,2024,2025,19,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Stipe Biuk,22,Croatia,Real Valladolid,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/587520-1678025591.jpg?lm=1
Stipe Biuk,20,Croatia,Real Valladolid,2023,2023,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/587520-1678025591.jpg?lm=1
Yeremay Hernández,22,Spain,Dep. La Coruña,2024,2025,52,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/636385-1742553017.jpg?lm=1
Javi Villar,22,Spain,Albacete,2024,2025,39,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/689639-1745338210.jpg?lm=1
Diego Sánchez,22,Spain,Sporting Gijón,2021,2025,81,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/825184-1760543268.jpg?lm=1
David Torres,22,Spain,Real Valladolid,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/857832-1702391225.jpg?lm=1
David Torres,20,Spain,Real Valladolid,2023,2023,24,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/857832-1702391225.jpg?lm=1
Ale García,22,Spain,UD Las Palmas,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/898737-1700590154.jpg?lm=1
Ale García,19,Spain,UD Las Palmas,2021,2022,6,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/898737-1700590154.jpg?lm=1
Thiago Ojeda,22,Argentina,CyD Leonesa,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1030425-1761231798.jpg?lm=1
Rafa Rodríguez,22,Spain,Málaga CF,2024,2025,19,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1057394-1762764856.jpg?lm=1
Rafa Rodríguez,18,Spain,Málaga CF,2022,2022,1,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1057394-1762764856.jpg?lm=1
Mario Soriano,23,Spain,Dep. La Coruña,2024,2025,55,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/568148-1724424505.jpg?lm=1
Marc Doménech,23,Spain,FC Andorra,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/617073-1697815995.png?lm=1
David Larrubia,23,Spain,Málaga CF,2024,2025,49,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/635939-1725885924.jpg?lm=1
David Larrubia,18,Spain,Málaga CF,2020,2020,8,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/635939-1725885924.jpg?lm=1
Victor Aznar,23,Brazil,Cádiz CF,2024,2025,15,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Lalo Aguilar,23,Spain,CD Leganés,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/715679-1736375163.jpeg?lm=1
Lalo Aguilar,21,Spain,CD Leganés,2022,2023,5,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/715679-1736375163.jpeg?lm=1
Marco Moreno,24,Spain,SD Eibar,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Lautaro de León,24,Uruguay,FC Andorra,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/561745-1712568757.png?lm=1
Sergio Barcia,24,Spain,UD Las Palmas,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/562058-1712568134.jpg?lm=1
Guilherme Fernandes,24,Portugal,Real Valladolid,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/567504-1668161309.png?lm=1
Enzo Loiodice,24,France,UD Las Palmas,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/581781-1737366411.jpg?lm=1
Enzo Loiodice,21,France,UD Las Palmas,2020,2022,78,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/581781-1737366411.jpg?lm=1
Luismi Cruz,24,Spain,Dep. La Coruña,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/610461-1647594517.jpg?lm=1
Jon Magunazelaia,24,Spain,SD Eibar,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/625655-1707947912.jpg?lm=1
Dani Villahermosa,24,Spain,FC Andorra,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/628496-1698154833.jpg?lm=1
Isma Ruiz,24,Spain,Córdoba CF,2024,2025,48,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/631221-1660899719.jpg?lm=1
Francho Serrano,24,Spain,Real Zaragoza,2020,2025,170,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/632930-1732368027.jpg?lm=1
Kevin Medina,24,Spain,Córdoba CF,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/635904-1634651937.jpg?lm=1
César Gelabert,25,Spain,Sporting Gijón,2024,2025,52,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/505308-1760543496.jpg?lm=1
Zakaria Eddahchouri,25,Netherlands,Dep. La Coruña,2024,2025,29,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/519651-1599332479.jpg?lm=1
Jesús Álvarez,25,Spain,SD Huesca,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/541920-1757572528.png?lm=1
Jonmi Magunagoitia,25,Spain,SD Eibar,2024,2025,45,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/606848-1725622355.jpg?lm=1
Iker Kortajarena,25,Spain,SD Huesca,2023,2025,80,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/625653-1757572453.png?lm=1
Julen Lobete,25,Spain,Málaga CF,2024,2025,49,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/625654-1633347659.jpg?lm=1
Diego García,25,Spain,CD Leganés,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/852727-1701788787.jpg?lm=1
Diego García,23,Spain,CD Leganés,2023,2023,42,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/852727-1701788787.jpg?lm=1
Diego García,21,Spain,CD Leganés,2020,2021,6,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/852727-1701788787.jpg?lm=1
Pablo Tomeo,25,Spain,Real Valladolid,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/892685-1662569262.png?lm=1
Lucas Perrin,26,France,Sporting Gijón,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/352392-1760543223.jpg?lm=1
Dinko Horkas,26,Croatia,UD Las Palmas,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/357770-1690574730.png?lm=1
