player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Geovany Quenda,18,Portugal,Sporting,2024,2025,44,Liga Portugal
Victor Froholdt,19,Denmark,Porto,2025,2025,10,Liga Portugal
Gustavo Sá,20,Portugal,Famalicão,2022,2025,86,Liga Portugal
Leandro Barreiro,25,Luxembourg,Benfica,2024,2025,37,Liga Portugal
Richard Ríos,25,Colombia,Benfica,2025,2025,10,Liga Portugal
Vangelis Pavlidis,26,Greece,Benfica,2024,2025,44,Liga Portugal
Diogo Costa,26,Portugal,Porto,2019,2025,145,Liga Portugal
Morten Hjulmand,26,Denmark,Sporting,2023,2025,68,Liga Portugal
Witi,29,Mozambique,Nacional,2025,2025,10,Liga Portugal
Witi,23,Mozambique,Nacional,2020,2020,19,Liga Portugal
Witi,21,Mozambique,Nacional,2018,2018,32,Liga Portugal
Witi,19,Mozambique,Nacional,2014,2016,31,Liga Portugal
Francisco Trincão,25,Portugal,Sporting,2022,2025,109,Liga Portugal
Jan Bednarek,29,Poland,Porto,2025,2025,10,Liga Portugal
Ghislain Konan,29,Cote d'Ivoire,Gil Vicente,2025,2025,10,Liga Portugal
Nicolás Otamendi,37,Argentina,Benfica,2020,2025,158,Liga Portugal
Sidny Cabral,23,Cape Verde,Estrela Amadora,2025,2025,10,Liga Portugal
Gonçalo Inácio,24,Portugal,Sporting,2020,2025,151,Liga Portugal
Luis Suárez,27,Colombia,Sporting,2025,2025,10,Liga Portugal
Jonathan Buatu,32,Angola,Gil Vicente,2023,2025,36,Liga Portugal
Mateja Stjepanović,21,Serbia,Moreirense,2025,2025,10,Liga Portugal
Atanas Chernev,23,Bulgaria,Estrela Amadora,2025,2025,10,Liga Portugal
Pedro Gonçalves,27,Portugal,Sporting,2020,2025,148,Liga Portugal
Juanse,19,Ecuador,Tondela,2025,2025,10,Liga Portugal
Amorim,20,Brazil,Alverca,2025,2025,10,Liga Portugal
Yefrei Rodríguez,20,Colombia,Tondela,2025,2025,10,Liga Portugal
Pablo,21,Brazil,Gil Vicente,2024,2025,30,Liga Portugal
Taichi Fukui,21,Japan,Arouca,2024,2025,40,Liga Portugal
Samuel Dahl,22,Sweden,Benfica,2024,2025,21,Liga Portugal
Maga,22,Portugal,Vit. Guimarães,2021,2025,87,Liga Portugal
Marko Milovanović,22,Serbia,Alverca,2025,2025,10,Liga Portugal
Marvin Elimbi,22,France,Gil Vicente,2024,2025,21,Liga Portugal
Tunde Akinsola,22,Nigeria,Avs FS,2024,2025,40,Liga Portugal
Pedro Carvalho,22,Portugal,Estoril,2024,2025,29,Liga Portugal
Rodrigo Pinheiro,23,Portugal,Famalicão,2024,2025,39,Liga Portugal
Lukas Hornicek,23,Czech Republic,Braga,2024,2025,27,Liga Portugal
Lukas Hornicek,19,Czech Republic,Braga,2021,2022,2,Liga Portugal
Gorby,23,France,Braga,2024,2025,34,Liga Portugal
Gorby,19,France,Braga,2021,2022,14,Liga Portugal
Luan Patrick,23,Brazil,Estrela Amadora,2025,2025,10,Liga Portugal
Bernardo,23,Brazil,Tondela,2025,2025,10,Liga Portugal
André Luiz,23,Brazil,Rio Ave,2025,2025,10,Liga Portugal
Georgios Liavas,24,Greece,Rio Ave,2025,2025,10,Liga Portugal
Cezary Miszta,24,Poland,Rio Ave,2023,2025,37,Liga Portugal
Nabil Touaizi,24,Morocco,Alverca,2025,2025,10,Liga Portugal
Yanis Begraoui,24,Morocco,Estoril,2024,2025,44,Liga Portugal
Andrew,24,Brazil,Gil Vicente,2021,2025,109,Liga Portugal
Nikolaos Athanasiou,24,Greece,Rio Ave,2025,2025,10,Liga Portugal
Borja Sainz,24,Spain,Porto,2025,2025,10,Liga Portugal
Santi García,24,Spain,Gil Vicente,2024,2025,37,Liga Portugal
André Lacximicant,24,Portugal,Estoril,2024,2025,37,Liga Portugal
Alan Varela,24,Argentina,Porto,2023,2025,71,Liga Portugal
Facundo Cáseres,24,Argentina,Gil Vicente,2024,2025,30,Liga Portugal
Sorriso,24,Brazil,Famalicão,2023,2025,54,Liga Portugal
Zé Carlos,24,Portugal,Gil Vicente,2025,2025,10,Liga Portugal
Zé Carlos,27,Portugal,Gil Vicente,2021,2025,105,Liga Portugal
Zé Carlos,25,Brazil,Gil Vicente,1990,1990,3,Liga Portugal
Felix Bacher,25,Austria,Estoril,2024,2025,33,Liga Portugal
Alan,25,Brazil,Moreirense,2023,2025,74,Liga Portugal
Víctor Gómez,25,Spain,Braga,2022,2025,93,Liga Portugal
Tiago Manso,25,Portugal,Tondela,2025,2025,10,Liga Portugal
Naïs Djouahra,25,France,Arouca,2025,2025,10,Liga Portugal
Dinis Pinto,25,Portugal,Moreirense,2023,2025,50,Liga Portugal
Leonardo Lelo,25,Portugal,Braga,2025,2025,10,Liga Portugal
Serginho,25,Portugal,Santa Clara,2024,2025,39,Liga Portugal
Serginho,35,Portugal,Santa Clara,2018,2018,7,Liga Portugal
Lazar Carević,26,Montenegro,Famalicão,2024,2025,28,Liga Portugal
Léo Santos,26,Brazil,Nacional,2024,2025,26,Liga Portugal
Filipe Soares,26,Portugal,Nacional,2025,2025,10,Liga Portugal
Jordan Holsgrove,26,Scotland,Estoril,2023,2025,53,Liga Portugal
