player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Pavel Sulc,24.0,Czech Republic,Lyon,2025,2025,11,Ligue 1
Gonçalo Ramos,24.0,Portugal,PSG,2023,2025,62,Ligue 1
Lassine Sinayoko,25.0,Mali,AJ Auxerre,2024,2025,45,Ligue 1
Lassine Sinayoko,22.0,Mali,AJ Auxerre,2022,2022,33,Ligue 1
Montassar Talbi,27.0,Tunisia,FC Lorient,2025,2025,11,Ligue 1
Montassar Talbi,25.0,Tunisia,FC Lorient,2022,2023,63,Ligue 1
Amir Murillo,29.0,Panama,Marseille,2023,2025,57,Ligue 1
Takumi Minamino,30.0,Japan,Monaco,2022,2025,90,Ligue 1
Moses Simon,30.0,Nigeria,Paris FC,2025,2025,11,Ligue 1
Ayyoub Bouaddi,18.0,France,Lille,2023,2025,44,Ligue 1
Louis Leroux,19.0,France,FC Nantes,2024,2025,27,Ligue 1
Dayann Methalie,19.0,France,Toulouse,2025,2025,11,Ligue 1
Arthur Avom,20.0,Cameroon,FC Lorient,2025,2025,11,Ligue 1
Mario Sauer,21.0,Slovakia,Toulouse,2025,2025,11,Ligue 1
Ousmane Camara,22.0,Mali,Angers SCO,2024,2025,14,Ligue 1
Ousmane Camara,19.0,Mali,Angers SCO,2022,2022,9,Ligue 1
Jacques Ekomié,22.0,Gabon,Angers SCO,2024,2025,29,Ligue 1
Ayumu Seko,25.0,Japan,Le Havre AC,2025,2025,11,Ligue 1
Aron Dønnum,27.0,Norway,Toulouse,2023,2025,70,Ligue 1
Moussa Niakhaté,29.0,Senegal,Lyon,2024,2025,42,Ligue 1
Carlens Arcus,29.0,Haiti,Angers SCO,2024,2025,39,Ligue 1
Hervé Koffi,29.0,Burkina Faso,Angers SCO,2025,2025,11,Ligue 1
Pierre-Emile Højbjerg,30.0,Denmark,Marseille,2024,2025,41,Ligue 1
Warren Zaïre-Emery,19.0,France,PSG,2022,2025,92,Ligue 1
Robin Risser,20.0,France,Lens,2025,2025,11,Ligue 1
Guillaume Restes,20.0,France,Toulouse,2023,2025,74,Ligue 1
Jérémy Jacquet,20.0,France,Stade Rennais,2024,2025,22,Ligue 1
Dehmaine Tabibou,20.0,France,FC Nantes,2024,2025,23,Ligue 1
Tanner Tessmann,24.0,United States,Lyon,2024,2025,36,Ligue 1
Frank Magri,26.0,Cameroon,Toulouse,2023,2025,71,Ligue 1
Aiyegun Tosin,27.0,Benin,FC Lorient,2025,2025,11,Ligue 1
Aiyegun Tosin,25.0,Benin,FC Lorient,2023,2023,19,Ligue 1
Elisha Owusu,27.0,Ghana,AJ Auxerre,2024,2025,39,Ligue 1
Jean-Philippe Gbamin,30.0,Cote d'Ivoire,FC Metz,2025,2025,11,Ligue 1
Florian Thauvin,32.0,France,Lens,2025,2025,11,Ligue 1
Clinton Mata,32.0,Angola,Lyon,2023,2025,68,Ligue 1
Kojo Peprah Oppong,21.0,Ghana,Nice,2025,2025,11,Ligue 1
Giorgi Tsitaishvili,24.0,Georgia,FC Metz,2025,2025,11,Ligue 1
Ilan Kebbal,27.0,Algeria,Paris FC,2025,2025,11,Ligue 1
Mory Diaw,32.0,Senegal,Le Havre AC,2025,2025,11,Ligue 1
Sidiki Chérif,18.0,France,Angers SCO,2024,2025,18,Ligue 1
Alpha Touré,19.0,Senegal,FC Metz,2025,2025,11,Ligue 1
Matías Fernández-Pardo,20.0,Spain,Lille,2024,2025,33,Ligue 1
Abdoul Ouattara,20.0,Cote d'Ivoire,R. Strasbourg,2024,2025,28,Ligue 1
Samir El Mourabet,20.0,Morocco,R. Strasbourg,2025,2025,11,Ligue 1
Valentín Barco,21.0,Argentina,R. Strasbourg,2024,2025,25,Ligue 1
Arsène Kouassi,21.0,Burkina Faso,FC Lorient,2025,2025,11,Ligue 1
Matthis Abline,22.0,France,FC Nantes,2023,2025,67,Ligue 1
Jonathan Fischer,23.0,Denmark,FC Metz,2025,2025,11,Ligue 1
Charlie Cresswell,23.0,England,Toulouse,2024,2025,42,Ligue 1
Mohamed Bamba,23.0,Cote d'Ivoire,FC Lorient,2025,2025,11,Ligue 1
Mohamed Bamba,21.0,Cote d'Ivoire,FC Lorient,2023,2023,16,Ligue 1
Rassoul Ndiaye,23.0,Senegal,Le Havre AC,2023,2025,57,Ligue 1
Bradley Locko,23.0,France,Stade Brestois,2022,2025,68,Ligue 1
Yassin Belkhdim,23.0,Morocco,Angers SCO,2024,2025,40,Ligue 1
Joaquín Panichelli,23.0,Argentina,R. Strasbourg,2025,2025,11,Ligue 1
Lucas Chevalier,24.0,France,PSG,2025,2025,11,Ligue 1
Yann Gboho,24.0,France,Toulouse,2023,2025,58,Ligue 1
Félix Correia,24.0,Portugal,Lille,2025,2025,11,Ligue 1
Sambou Soumano,24.0,Senegal,FC Lorient,2025,2025,11,Ligue 1
Sambou Soumano,20.0,Senegal,FC Lorient,2021,2021,21,Ligue 1
Marvin Senaya,24.0,France,AJ Auxerre,2025,2025,11,Ligue 1
Yehvann Diouf,25.0,Senegal,Nice,2025,2025,11,Ligue 1
Melvin Bard,25.0,France,Nice,2021,2025,133,Ligue 1
Issa Soumaré,25.0,Senegal,Le Havre AC,2023,2025,47,Ligue 1
Sofiane Diop,25.0,Morocco,Nice,2023,2025,49,Ligue 1
Maxime Lopez,27.0,France,Paris FC,2025,2025,11,Ligue 1
Kelvin Amian,27.0,France,FC Nantes,2023,2025,53,Ligue 1
Koffi Kouao,27.0,Cote d'Ivoire,FC Metz,2025,2025,11,Ligue 1
Koffi Kouao,25.0,Cote d'Ivoire,FC Metz,2023,2023,13,Ligue 1
Morgan Guilavogui,27.0,Guinea,Lens,2025,2025,11,Ligue 1
Morgan Guilavogui,25.0,Guinea,Lens,2023,2023,23,Ligue 1
Jérémie Boga,28.0,Cote d'Ivoire,Nice,2023,2025,60,Ligue 1
Rasmus Nicolaisen,28.0,Denmark,Toulouse,2022,2025,85,Ligue 1
Ainsley Maitland-Niles,28.0,England,Lyon,2023,2025,66,Ligue 1
Chidozie Awaziem,28.0,Nigeria,FC Nantes,2025,2025,11,Ligue 1
Chidozie Awaziem,20.0,Nigeria,FC Nantes,2017,2017,22,Ligue 1
Jean-Philippe Krasso,28.0,Cote d'Ivoire,Paris FC,2025,2025,11,Ligue 1
Matthieu Udol,29.0,France,Lens,2025,2025,11,Ligue 1
Wesley Saïd,30.0,France,Lens,2021,2025,104,Ligue 1
Haris Belkebla,31.0,Algeria,Angers SCO,2024,2025,33,Ligue 1
Corentin Tolisso,31.0,France,Lyon,2022,2025,98,Ligue 1
Corentin Tolisso,21.0,France,Lyon,2013,2016,116,Ligue 1
Brice Samba,31.0,France,Stade Rennais,2025,2025,11,Ligue 1
Adrien Thomasson,31.0,France,Lens,2023,2025,73,Ligue 1
Ludovic Ajorque,31.0,France,Stade Brestois,2024,2025,42,Ligue 1
Jordan Lefort,32.0,France,Angers SCO,2024,2025,45,Ligue 1
Ruben Aguilar,32.0,France,Lens,2023,2025,52,Ligue 1
Laurent Abergel,32.0,France,FC Lorient,2025,2025,11,Ligue 1
Laurent Abergel,30.0,France,FC Lorient,2020,2023,134,Ligue 1
Djibril Sidibé,33.0,France,Toulouse,2024,2025,39,Ligue 1
Kenny Lala,34.0,France,Stade Brestois,2022,2025,91,Ligue 1
Anthony Lopes,35.0,Portugal,FC Nantes,2025,2025,11,Ligue 1
Estéban Lepaul,25.0,France,Angers SCO,2024,2025,39,Ligue 1
Pierre Lees-Melou,32.0,France,Stade Brestois,2022,2025,92,Ligue 1
Kendry Páez,18.0,Ecuador,R. Strasbourg,2025,2025,10,Ligue 1
Hákon Arnar Haraldsson,22.0,Iceland,Lille,2023,2025,61,Ligue 1
Ilya Zabarnyi,23.0,Ukraine,PSG,2025,2025,10,Ligue 1
Vitinha,25.0,Portugal,PSG,2022,2025,103,Ligue 1
Hicham Boudaoui,26.0,Algeria,Nice,2019,2025,158,Ligue 1
Mostafa Mohamed,27.0,Egypt,FC Nantes,2022,2025,105,Ligue 1
Mousa Tamari,28.0,Jordan,Stade Rennais,2025,2025,10,Ligue 1
Loïc Nego,34.0,Hungary,Le Havre AC,2023,2025,69,Ligue 1
Tylel Tati,17.0,France,FC Nantes,2025,2025,10,Ligue 1
Diego Moreira,21.0,Belgium,R. Strasbourg,2024,2025,42,Ligue 1
Samson Baidoo,21.0,Austria,Lens,2025,2025,10,Ligue 1
Mika Biereth,22.0,Denmark,Monaco,2024,2025,26,Ligue 1
Maghnes Akliouche,23.0,France,Monaco,2021,2025,88,Ligue 1
Mamadou Sangaré,23.0,Mali,Lens,2025,2025,10,Ligue 1
Cristian Cásseres Jr.,25.0,Venezuela,Toulouse,2023,2025,74,Ligue 1
Gideon Mensah,27.0,Ghana,AJ Auxerre,2024,2025,39,Ligue 1
Gideon Mensah,23.0,Ghana,AJ Auxerre,2022,2022,26,Ligue 1
Nabil Bentaleb,30.0,Algeria,Lille,2023,2025,46,Ligue 1
Kader Meïté,18.0,France,Stade Rennais,2024,2025,22,Ligue 1
Mike Penders,20.0,Belgium,R. Strasbourg,2025,2025,10,Ligue 1
Adam Karabec,22.0,Czech Republic,Lyon,2025,2025,10,Ligue 1
Bradley Barcola,23.0,France,PSG,2023,2025,72,Ligue 1
Josué Casimir,24.0,Haiti,AJ Auxerre,2025,2025,10,Ligue 1
Fodé Doucouré,24.0,Mali,Le Havre AC,2025,2025,10,Ligue 1
Mark McKenzie,26.0,United States,Toulouse,2024,2025,40,Ligue 1
Robinio Vaz,18.0,France,Marseille,2024,2025,12,Ligue 1
Ibrahim Osman,20.0,Ghana,AJ Auxerre,2025,2025,10,Ligue 1
Kévin Danois,21.0,France,AJ Auxerre,2024,2025,32,Ligue 1
Kévin Danois,18.0,France,AJ Auxerre,2022,2022,1,Ligue 1
Samir Chergui,26.0,Algeria,Paris FC,2025,2025,10,Ligue 1
Rayan Fofana,19.0,France,Lens,2024,2025,12,Ligue 1
Lanroy Machine,20.0,France,Angers SCO,2024,2025,12,Ligue 1
Simon Ebonog,21.0,France,Le Havre AC,2025,2025,10,Ligue 1
Simon Ebonog,18.0,France,Le Havre AC,2023,2023,4,Ligue 1
Tom Louchet,22.0,France,Nice,2023,2025,45,Ligue 1
Quentin Merlin,23.0,France,Stade Rennais,2025,2025,10,Ligue 1
Tyler Morton,23.0,England,Lyon,2025,2025,10,Ligue 1
Yassine Kechta,23.0,Morocco,Le Havre AC,2023,2025,73,Ligue 1
Théo Le Bris,23.0,France,FC Lorient,2025,2025,10,Ligue 1
Théo Le Bris,20.0,France,FC Lorient,2021,2023,57,Ligue 1
Arouna Sangante,23.0,Senegal,Le Havre AC,2023,2025,56,Ligue 1
Clément Akpa,23.0,Cote d'Ivoire,AJ Auxerre,2024,2025,41,Ligue 1
Louis Mouton,23.0,France,Angers SCO,2025,2025,10,Ligue 1
Willem Geubbels,24.0,France,Paris FC,2025,2025,10,Ligue 1
Mason Greenwood,24.0,England,Marseille,2024,2025,44,Ligue 1
Joris Chotard,24.0,France,Stade Brestois,2025,2025,10,Ligue 1
Warren Kamanzi,24.0,Norway,Toulouse,2022,2025,69,Ligue 1
Angel Gomes,25.0,England,Marseille,2025,2025,10,Ligue 1
Moustapha Mbow,25.0,Senegal,Paris FC,2025,2025,10,Ligue 1
Lilian Raolisoa,25.0,France,Angers SCO,2024,2025,39,Ligue 1
Lilian Raolisoa,22.0,France,Angers SCO,2022,2022,7,Ligue 1
Malang Sarr,26.0,France,Lens,2024,2025,31,Ligue 1
Jordan Teze,26.0,Netherlands,Monaco,2024,2025,26,Ligue 1
Hugo Magnetti,27.0,France,Stade Brestois,2019,2025,156,Ligue 1
Jessy Deminguet,27.0,France,FC Metz,2025,2025,10,Ligue 1
Yanis Zouaoui,27.0,France,Le Havre AC,2024,2025,27,Ligue 1
Romain Del Castillo,29.0,France,Stade Brestois,2022,2025,96,Ligue 1
Gautier Lloris,30.0,France,Le Havre AC,2023,2025,72,Ligue 1
Valentin Rongier,30.0,France,Stade Rennais,2025,2025,10,Ligue 1
Junior Mwanga,22.0,France,R. Strasbourg,2023,2025,51,Ligue 1
Ibrahim Mbaye,17.0,Senegal,PSG,2024,2025,18,Ligue 1
Juma Bah,19.0,Sierra Leone,Nice,2025,2025,9,Ligue 1
Malick Fofana,20.0,Belgium,Lyon,2023,2025,55,Ligue 1
Nuno Mendes,23.0,Portugal,PSG,2021,2025,89,Ligue 1
Hamza Igamane,23.0,Morocco,Lille,2025,2025,9,Ligue 1
Khvicha Kvaratskhelia,24.0,Georgia,PSG,2024,2025,23,Ligue 1
Folarin Balogun,24.0,United States,Monaco,2023,2025,51,Ligue 1
Kang-in Lee,24.0,"Korea, South",PSG,2023,2025,62,Ligue 1
Cheikh Sabaly,26.0,Senegal,FC Metz,2025,2025,9,Ligue 1
Cheikh Sabaly,24.0,Senegal,FC Metz,2023,2023,29,Ligue 1
Cheikh Sabaly,22.0,Senegal,FC Metz,2020,2021,7,Ligue 1
Abdoulaye Touré,31.0,Guinea,Le Havre AC,2023,2025,67,Ligue 1
Aïssa Mandi,34.0,Algeria,Lille,2024,2025,33,Ligue 1
Afonso Moreira,20.0,Portugal,Lyon,2025,2025,9,Ligue 1
Timothy Weah,25.0,United States,Marseille,2025,2025,9,Ligue 1
Danny Namaso,25.0,Cameroon,AJ Auxerre,2025,2025,9,Ligue 1
Achraf Hakimi,27.0,Morocco,PSG,2021,2025,119,Ligue 1
Nicolás Tagliafico,33.0,Argentina,Lyon,2022,2025,92,Ligue 1
Prosper Peter,18.0,France,Angers SCO,2024,2025,11,Ligue 1
Djaoui Cissé,21.0,France,Stade Rennais,2023,2025,25,Ligue 1
Dermane Karim,21.0,Togo,FC Lorient,2025,2025,9,Ligue 1
Saud Abdulhamid,26.0,Saudi Arabia,Lens,2025,2025,9,Ligue 1
Caio Henrique,28.0,Brazil,Monaco,2020,2025,145,Ligue 1
Seko Fofana,30.0,Cote d'Ivoire,Stade Rennais,2024,2025,25,Ligue 1
Pierre-Emerick Aubameyang,36.0,Gabon,Marseille,2025,2025,9,Ligue 1
Pierre-Emerick Aubameyang,34.0,Gabon,Marseille,2023,2023,34,Ligue 1
Francisco Sierralta,28.0,Chile,AJ Auxerre,2025,2025,9,Ligue 1
George Ilenikhena,19.0,Nigeria,Monaco,2024,2025,32,Ligue 1
Herba Guirassy,19.0,France,FC Nantes,2024,2025,28,Ligue 1
Ibou Sané,20.0,Senegal,FC Metz,2025,2025,9,Ligue 1
Ibou Sané,18.0,Senegal,FC Metz,2023,2023,9,Ligue 1
Antoine Mendy,21.0,Senegal,Nice,2022,2025,48,Ligue 1
Nathan Ngoy,22.0,Belgium,Lille,2025,2025,9,Ligue 1
Félix Lemaréchal,22.0,France,R. Strasbourg,2024,2025,36,Ligue 1
Joel Mvuka,22.0,Norway,FC Lorient,2025,2025,9,Ligue 1
Joel Mvuka,20.0,Norway,FC Lorient,2023,2023,7,Ligue 1
Obed Nkambadio,22.0,France,Paris FC,2025,2025,9,Ligue 1
Lasso Coulibaly,23.0,Cote d'Ivoire,AJ Auxerre,2024,2025,12,Ligue 1
Otávio,23.0,Brazil,Paris FC,2025,2025,9,Ligue 1
Osame Sahraoui,24.0,Morocco,Lille,2024,2025,39,Ligue 1
