player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
David Watson,20.0,Scotland,Kilmarnock FC,2022,2025,78,Premiership
Martin Boyle,32.0,Australia,Hibernian FC,2017,2025,200,Premiership
Kieron Bowie,23.0,Scotland,Hibernian FC,2024,2025,24,Premiership
Henry Cartwright,20.0,England,Falkirk,2025,2025,11,Premiership
Imari Samuels,22.0,England,Dundee FC,2024,2025,13,Premiership
Marcus Dackers,22.0,Wales,Kilmarnock FC,2025,2025,11,Premiership
Josh Mulligan,22.0,Scotland,Hibernian FC,2025,2025,11,Premiership
Dylan Tait,23.0,Scotland,Falkirk,2025,2025,11,Premiership
Keelan Adams,23.0,Scotland,Falkirk,2025,2025,11,Premiership
Ryan Astley,24.0,Wales,Dundee FC,2023,2025,33,Premiership
Oisin McEntee,24.0,Ireland,Heart of Midl.,2025,2025,11,Premiership
Jon McCracken,25.0,Scotland,Dundee FC,2023,2025,34,Premiership
Alfie Agyeman,25.0,Ghana,Falkirk,2025,2025,11,Premiership
Dominic Thompson,25.0,England,Kilmarnock FC,2025,2025,11,Premiership
Alexandros Kyziridis,25.0,Greece,Heart of Midl.,2025,2025,11,Premiership
Cláudio Braga,26.0,Portugal,Heart of Midl.,2025,2025,11,Premiership
Calvin Miller,27.0,Scotland,Falkirk,2025,2025,11,Premiership
Bruce Anderson,27.0,Scotland,Kilmarnock FC,2024,2025,36,Premiership
Cammy Devlin,27.0,Australia,Heart of Midl.,2021,2025,103,Premiership
Liam Henderson,29.0,Scotland,Falkirk,2025,2025,11,Premiership
Jamie McGrath,29.0,Ireland,Hibernian FC,2025,2025,11,Premiership
Harry Milne,29.0,Scotland,Heart of Midl.,2024,2025,12,Premiership
Brad Spencer,29.0,Scotland,Falkirk,2025,2025,11,Premiership
Stuart Findlay,30.0,Scotland,Heart of Midl.,2025,2025,11,Premiership
Lawrence Shankland,30.0,Scotland,Heart of Midl.,2022,2025,103,Premiership
Jérôme Prior,30.0,France,Livingston FC,2025,2025,11,Premiership
Mohamad Sylla,31.0,France,Livingston FC,2025,2025,11,Premiership
Clark Robertson,32.0,Scotland,Dundee FC,2024,2025,28,Premiership
Scott Bain,33.0,Scotland,Falkirk,2025,2025,11,Premiership
Danny Wilson,33.0,Scotland,Livingston FC,2025,2025,11,Premiership
Scott Pittman,33.0,Scotland,Livingston FC,2025,2025,11,Premiership
Scott Pittman,30.0,Scotland,Livingston FC,2018,2023,166,Premiership
Scott Arfield,37.0,Canada,Falkirk,2025,2025,11,Premiership
Scott Arfield,20.0,Canada,Falkirk,2007,2009,108,Premiership
Luke Graham,21.0,Scotland,Dundee FC,2024,2025,13,Premiership
Thibault Klidjé,24.0,Togo,Hibernian FC,2025,2025,10,Premiership
John Souttar,29.0,Scotland,Rangers,2022,2025,61,Premiership
Kasper Schmeichel,39.0,Denmark,Celtic,2024,2025,40,Premiership
Tawanda Maswanhise,22.0,Zimbabwe,Motherwell FC,2024,2025,37,Premiership
Benjamin Nygren,24.0,Sweden,Celtic,2025,2025,10,Premiership
Panutche Camara,28.0,Guinea-Bissau,Dundee United,2025,2025,10,Premiership
Killian Phillips,23.0,Ireland,St. Mirren,2024,2025,40,Premiership
Liam Scales,27.0,Ireland,Celtic,2023,2025,61,Premiership
Liam Scales,22.0,Ireland,Celtic,2021,2021,5,Premiership
Dimitar Mitov,28.0,Bulgaria,Aberdeen FC,2024,2025,29,Premiership
Joe Westley,21.0,England,Dundee FC,2025,2025,10,Premiership
Djeidi Gassama,22.0,France,Rangers,2025,2025,10,Premiership
Zachary Sapsford,23.0,Australia,Dundee United,2025,2025,10,Premiership
Ibrahim Said,23.0,Nigeria,Motherwell FC,2025,2025,10,Premiership
Danny Finlayson,24.0,Northern Ireland,Livingston FC,2025,2025,10,Premiership
Alexander Jensen,24.0,Denmark,Aberdeen FC,2024,2025,21,Premiership
Emmanuel Longelo,24.0,England,Motherwell FC,2025,2025,10,Premiership
Callum Jones,24.0,Wales,Dundee FC,2025,2025,10,Premiership
Lukas Fadinger,25.0,Austria,Motherwell FC,2025,2025,10,Premiership
Elliot Watt,25.0,Scotland,Motherwell FC,2025,2025,10,Premiership
Robbie Deas,25.0,Scotland,Kilmarnock FC,2023,2025,63,Premiership
Lewis Smith,25.0,Scotland,Livingston FC,2025,2025,10,Premiership
Josh Campbell,25.0,Scotland,Hibernian FC,2021,2025,106,Premiership
Vicko Sevelj,25.0,Croatia,Dundee United,2024,2025,40,Premiership
Krisztián Keresztes,25.0,Hungary,Dundee United,2025,2025,10,Premiership
Calum Ward,25.0,England,Motherwell FC,2025,2025,10,Premiership
Ross MacIver,26.0,Scotland,Falkirk,2025,2025,10,Premiership
Bert Esselink,26.0,Netherlands,Dundee United,2025,2025,10,Premiership
Yevgeniy Kucherenko,26.0,Ukraine,Dundee United,2025,2025,10,Premiership
Apostolos Stamatelopoulos,26.0,Australia,Motherwell FC,2024,2025,26,Premiership
Shamal George,27.0,England,St. Mirren,2025,2025,10,Premiership
Luke McCowan,27.0,Scotland,Celtic,2025,2025,10,Premiership
Jonah Ayunga,28.0,Kenya,St. Mirren,2022,2025,69,Premiership
Chris Cadden,29.0,Scotland,Hibernian FC,2020,2025,111,Premiership
Jack Iredale,29.0,Australia,Hibernian FC,2024,2025,33,Premiership
Drey Wright,30.0,England,Dundee FC,2025,2025,10,Premiership
Declan John,30.0,Wales,St. Mirren,2024,2025,23,Premiership
Craig Halkett,30.0,Scotland,Heart of Midl.,2021,2025,65,Premiership
Craig Halkett,24.0,Scotland,Heart of Midl.,2019,2019,24,Premiership
Mikael Mandron,31.0,France,St. Mirren,2023,2025,69,Premiership
Callum McGregor,32.0,Scotland,Celtic,2014,2025,323,Premiership
Jack Butland,32.0,England,Rangers,2023,2025,69,Premiership
Stevie May,33.0,Scotland,Livingston FC,2025,2025,10,Premiership
Stephen O'Donnell,33.0,Scotland,Motherwell FC,2020,2025,143,Premiership
James Tavernier,34.0,England,Rangers,2016,2025,290,Premiership
James Forrest,34.0,Scotland,Celtic,2009,2025,320,Premiership
Jeremy Bokila,36.0,DR Congo,Livingston FC,2025,2025,10,Premiership
Cameron Congreve,21.0,Wales,Dundee FC,2025,2025,9,Premiership
Topi Keskinen,22.0,Finland,Aberdeen FC,2024,2025,40,Premiership
Macaulay Tait,20.0,Scotland,Livingston FC,2025,2025,9,Premiership
Amar Fatah,21.0,Sweden,Dundee United,2025,2025,9,Premiership
Tony Yogane,20.0,England,Dundee FC,2025,2025,9,Premiership
Finlay Robertson,22.0,Scotland,Dundee FC,2023,2025,45,Premiership
Finlay Robertson,18.0,Scotland,Dundee FC,2021,2021,2,Premiership
Arne Engels,22.0,Belgium,Celtic,2024,2025,39,Premiership
Jack Milne,22.0,Scotland,Aberdeen FC,2022,2025,23,Premiership
Miguel Freckleton,22.0,England,St. Mirren,2025,2025,9,Premiership
Ashley Hay,22.0,England,Dundee FC,2025,2025,9,Premiership
Adil Aouchiche,23.0,France,Aberdeen FC,2025,2025,9,Premiership
Tete Yengi,24.0,Australia,Livingston FC,2025,2025,9,Premiership
Tete Yengi,22.0,Australia,Livingston FC,2023,2023,12,Premiership
Michael Steinwender,25.0,Austria,Heart of Midl.,2024,2025,18,Premiership
Lewis Mayo,25.0,Scotland,Kilmarnock FC,2022,2025,103,Premiership
George Stanger,25.0,New Zealand,Kilmarnock FC,2025,2025,9,Premiership
Ivan Dolcek,25.0,Croatia,Dundee United,2025,2025,9,Premiership
Mats Knoester,26.0,Netherlands,Aberdeen FC,2024,2025,17,Premiership
Beni Baningime,27.0,DR Congo,Heart of Midl.,2023,2025,57,Premiership
Beni Baningime,22.0,DR Congo,Heart of Midl.,2021,2021,24,Premiership
John Koutroumbis,27.0,Australia,Motherwell FC,2024,2025,14,Premiership
Greg Kiltie,28.0,Scotland,Kilmarnock FC,2025,2025,9,Premiership
Greg Kiltie,23.0,Scotland,Kilmarnock FC,2012,2020,102,Premiership
Brad Lyons,28.0,Northern Ireland,Kilmarnock FC,2022,2025,75,Premiership
Craig Sibbald,30.0,Scotland,Dundee United,2024,2025,22,Premiership
Craig Sibbald,27.0,Scotland,Dundee United,2022,2022,30,Premiership
Liam Polworth,31.0,Scotland,Kilmarnock FC,2022,2025,78,Premiership
Alex Gogic,31.0,Cyprus,St. Mirren,2022,2025,99,Premiership
Brian Graham,37.0,Scotland,Falkirk,2025,2025,9,Premiership
Ben Brannan,18.0,Scotland,Kilmarnock FC,2025,2025,8,Premiership
Thelo Aasgaard,23.0,Norway,Rangers,2025,2025,8,Premiership
Richard King,23.0,Jamaica,St. Mirren,2025,2025,8,Premiership
Jordan Obita,31.0,Uganda,Hibernian FC,2023,2025,67,Premiership
Dario Naamo,20.0,Finland,Dundee United,2025,2025,8,Premiership
Nicolas Raskin,24.0,Belgium,Rangers,2022,2025,57,Premiership
Mikey Moore,18.0,England,Rangers,2025,2025,8,Premiership
Daizen Maeda,28.0,Japan,Celtic,2021,2025,105,Premiership
Grant Hanley,33.0,Scotland,Hibernian FC,2025,2025,8,Premiership
Junior Hoilett,35.0,Canada,Hibernian FC,2024,2025,31,Premiership
Rocky Bushiri,25.0,DR Congo,Hibernian FC,2021,2025,79,Premiership
Ethan Williams,19.0,England,Falkirk,2025,2025,8,Premiership
Luca Stephenson,22.0,England,Dundee United,2024,2025,39,Premiership
Andy Winter,23.0,Scotland,Livingston FC,2025,2025,8,Premiership
Connor Barron,23.0,Scotland,Rangers,2024,2025,31,Premiership
Tómas Bent Magnússon,23.0,Iceland,Heart of Midl.,2025,2025,8,Premiership
Nikolaj Möller,23.0,Sweden,Dundee United,2025,2025,8,Premiership
