team_name,logo_url
AC Ajaccio,https://tmssl.akamaized.net//images/wappen/small/1147.png?lm=1408538965
AC Arles-Avignon,https://tmssl.akamaized.net//images/wappen/small/11300_1485627832.png?lm=1485627832
AD Alcorcón,https://tmssl.akamaized.net//images/wappen/small/11596.png?lm=1468166397
AD Ceuta,https://tmssl.akamaized.net//images/wappen/small/8568.png?lm=1422971808
AJ Auxerre,https://tmssl.akamaized.net//images/wappen/small/290.png?lm=1635851977
AS Beauvais,https://tmssl.akamaized.net//images/wappen/small/3135_1485249882.png?lm=1485249882
AS Béziers,https://tmssl.akamaized.net//images/wappen/small/10867.png?lm=1481630489
AS Nancy,https://tmssl.akamaized.net//images/wappen/small/1159_1529961100.png?lm=1529961100
AS Red Star 93,https://tmssl.akamaized.net//images/wappen/small/1154_1486634909.png?lm=1486634909
AS Saint-Seurin,https://tmssl.akamaized.net//images/wappen/small/58258.png?lm=1486066744
ASOA Valence,https://tmssl.akamaized.net//images/wappen/small/1424_1485529840.png?lm=1485529840
Alavés,https://tmssl.akamaized.net//images/wappen/small/1108.png?lm=1596131395
Albacete,https://tmssl.akamaized.net//images/wappen/small/1532.png?lm=1407563756
Algeciras CF,https://tmssl.akamaized.net//images/wappen/small/3705.png?lm=1437977652
Alicante,https://tmssl.akamaized.net//images/wappen/small/12502.png?lm=1457444187
Almería CF,https://tmssl.akamaized.net//images/wappen/small/3302.png?lm=1736335439
Alverca,https://tmssl.akamaized.net//images/wappen/small/2521.png?lm=1468133408
Amiens SC,https://tmssl.akamaized.net//images/wappen/small/1416_1625493578.png?lm=1625493578
Angers SCO,https://tmssl.akamaized.net//images/wappen/small/1420.png?lm=1687525425
Arouca,https://tmssl.akamaized.net//images/wappen/small/8024.png?lm=1530096604
Athletic Club,https://tmssl.akamaized.net//images/wappen/small/621.png?lm=1695069038
Atl. Madrileño,https://tmssl.akamaized.net//images/wappen/small/3679_1499811489.png?lm=1499811489
Atlco. Marbella,https://tmssl.akamaized.net//images/wappen/small/42872.png?lm=1457444403
Atlético,https://tmssl.akamaized.net//images/wappen/small/13.png?lm=1719915566
Avs FS,https://tmssl.akamaized.net//images/wappen/small/110302.png?lm=1698968034
B SAD,https://tmssl.akamaized.net//images/wappen/small/2457.png?lm=1552479825
Barcelona,https://tmssl.akamaized.net//images/wappen/small/131.png?lm=1406739548
