team_name,logo_url
1.FC K'lautern,https://tmssl.akamaized.net//images/wappen/small/2_1400587921.png?lm=1400587920
1.FC Köln,https://tmssl.akamaized.net//images/wappen/small/3.png?lm=1656580823
1.FC Magdeburg,https://tmssl.akamaized.net//images/wappen/small/187.png?lm=1559905461
1.FC Nuremberg,https://tmssl.akamaized.net//images/wappen/small/4.png?lm=1525459914
1860 Munich,https://tmssl.akamaized.net//images/wappen/small/72.png?lm=1403081335
A.Sebatspor,https://tmssl.akamaized.net//images/wappen/small/1511.png?lm=1441244773
AC Ajaccio,https://tmssl.akamaized.net//images/wappen/small/1147.png?lm=1408538965
AC Arles-Avignon,https://tmssl.akamaized.net//images/wappen/small/11300_1485627832.png?lm=1485627832
AC Milan,https://tmssl.akamaized.net//images/wappen/small/5.png?lm=1605166627
AC Parma,https://tmssl.akamaized.net//images/wappen/small/130_1405863037.png?lm=1405863037
AC Pisa,https://tmssl.akamaized.net//images/wappen/small/4172_1555321945.png?lm=1555321945
AC Siena,https://tmssl.akamaized.net//images/wappen/small/1387_1424700703.png?lm=1424700703
AC Venezia 1907,https://tmssl.akamaized.net//images/wappen/small/607_1570605757.png?lm=1570605757
AD Alcorcón,https://tmssl.akamaized.net//images/wappen/small/11596.png?lm=1468166397
AD Ceuta,https://tmssl.akamaized.net//images/wappen/small/8568.png?lm=1422971808
ADO Den Haag,https://tmssl.akamaized.net//images/wappen/small/1268.png?lm=1420455700
AFC Tubize,https://tmssl.akamaized.net//images/wappen/small/3772_1418209122.png?lm=1418209122
AJ Auxerre,https://tmssl.akamaized.net//images/wappen/small/290.png?lm=1635851977
AS Avellino,https://tmssl.akamaized.net//images/wappen/small/2331_1446218076.png?lm=1446218076
AS Beauvais,https://tmssl.akamaized.net//images/wappen/small/3135_1485249882.png?lm=1485249882
AS Béziers,https://tmssl.akamaized.net//images/wappen/small/10867.png?lm=1481630489
AS Gubbio,https://tmssl.akamaized.net//images/wappen/small/4326.png?lm=1662025586
AS Livorno,https://tmssl.akamaized.net//images/wappen/small/1210_1631009607.png?lm=1631009607
AS Nancy,https://tmssl.akamaized.net//images/wappen/small/1159_1529961100.png?lm=1529961100
AS Red Star 93,https://tmssl.akamaized.net//images/wappen/small/1154_1486634909.png?lm=1486634909
AS Saint-Seurin,https://tmssl.akamaized.net//images/wappen/small/58258.png?lm=1486066744
ASG Nocerina,https://tmssl.akamaized.net//images/wappen/small/4114_1474029319.png?lm=1474029319
ASOA Valence,https://tmssl.akamaized.net//images/wappen/small/1424_1485529840.png?lm=1485529840
AZ Alkmaar,https://tmssl.akamaized.net//images/wappen/small/1090.png?lm=1586848339
Aberdeen FC,https://tmssl.akamaized.net//images/wappen/small/370.png?lm=1409146897
Acireale,https://tmssl.akamaized.net//images/wappen/small/4337_1569236187.png?lm=1569236187
Adana Demirspor,https://tmssl.akamaized.net//images/wappen/small/3840.png?lm=1753361832
Adanaspor,https://tmssl.akamaized.net//images/wappen/small/6.png?lm=1442130460
Ajax,https://tmssl.akamaized.net//images/wappen/small/610.png?lm=1750408025
Akhisar Belediye,https://tmssl.akamaized.net//images/wappen/small/19771.png?lm=1604757093
Akhisarspor,https://tmssl.akamaized.net//images/wappen/small/19771.png?lm=1604757093
Alanyaspor,https://tmssl.akamaized.net//images/wappen/small/11282.png?lm=1753428907
Alavés,https://tmssl.akamaized.net//images/wappen/small/1108.png?lm=1596131395
Albacete,https://tmssl.akamaized.net//images/wappen/small/1532.png?lm=1407563756
Alem. Aachen,https://tmssl.akamaized.net//images/wappen/small/8_1400669229.png?lm=1400669228
Alessandria,https://tmssl.akamaized.net//images/wappen/small/2721_1740172386.png?lm=1740172389
Algeciras CF,https://tmssl.akamaized.net//images/wappen/small/3705.png?lm=1437977652
Alicante,https://tmssl.akamaized.net//images/wappen/small/12502.png?lm=1457444187
Almere City,https://tmssl.akamaized.net//images/wappen/small/723.png?lm=1588851577
Almería CF,https://tmssl.akamaized.net//images/wappen/small/3302.png?lm=1736335439
Altay SK,https://tmssl.akamaized.net//images/wappen/small/2375.png?lm=1624497193
Alverca,https://tmssl.akamaized.net//images/wappen/small/2521.png?lm=1468133408
Alzano Virescit,https://tmssl.akamaized.net//images/wappen/small/4338_1557396724.png?lm=1557396724
Amiens SC,https://tmssl.akamaized.net//images/wappen/small/1416_1625493578.png?lm=1625493578
Ancona,https://tmssl.akamaized.net//images/wappen/small/1388_1479991922.png?lm=1479991922
Andria,https://tmssl.akamaized.net//images/wappen/small/4085_1428656158.png?lm=1428656158
Angers SCO,https://tmssl.akamaized.net//images/wappen/small/1420.png?lm=1687525425
Ankaragücü,https://tmssl.akamaized.net//images/wappen/small/868.png?lm=1582635029
Ankaraspor,https://tmssl.akamaized.net//images/wappen/small/2944_1444100514.png?lm=1444100514
Antalyaspor,https://tmssl.akamaized.net//images/wappen/small/589.png?lm=1753428974
Arezzo,https://tmssl.akamaized.net//images/wappen/small/4255_1465637875.png?lm=1465637876
Arm. Bielefeld,https://tmssl.akamaized.net//images/wappen/small/10.png?lm=1629204733
Arouca,https://tmssl.akamaized.net//images/wappen/small/8024.png?lm=1530096604
Arsenal,https://tmssl.akamaized.net//images/wappen/small/11.png?lm=1489787850
Ascoli,https://tmssl.akamaized.net//images/wappen/small/408_1401787207.png?lm=1401787199
Aston Villa,https://tmssl.akamaized.net//images/wappen/small/405_1469439248.png?lm=1469439249
Atalanta,https://tmssl.akamaized.net//images/wappen/small/800.png?lm=1438547428
Athletic Club,https://tmssl.akamaized.net//images/wappen/small/621.png?lm=1695069038
Atl. Madrileño,https://tmssl.akamaized.net//images/wappen/small/3679_1499811489.png?lm=1499811489
Atlco. Marbella,https://tmssl.akamaized.net//images/wappen/small/42872.png?lm=1457444403
Atlético,https://tmssl.akamaized.net//images/wappen/small/13.png?lm=1719915566
Augsburg,https://tmssl.akamaized.net//images/wappen/small/167.png?lm=1656582897
Avellino,https://tmssl.akamaized.net//images/wappen/small/2331.png?lm=1446296368
Avs FS,https://tmssl.akamaized.net//images/wappen/small/110302.png?lm=1698968034
