player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Geovany Quenda,18,Portugal,Sporting,2024,2025,45,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/1138758-1761232238.jpg?lm=1
Victor Froholdt,19,Denmark,Porto,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/926993-1707862051.jpg?lm=1
Gustavo Sá,20,Portugal,Famalicão,2022,2025,87,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/982575-1742141418.jpg?lm=1
Leandro Barreiro,25,Luxembourg,Benfica,2024,2025,38,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/357233-1750853041.jpg?lm=1
Richard Ríos,25,Colombia,Benfica,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/735573-1721090544.jpg?lm=1
Vangelis Pavlidis,26,Greece,Benfica,2024,2025,45,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/324503-1737497307.jpg?lm=1
Diogo Costa,26,Portugal,Porto,2019,2025,146,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/357153-1716296015.jpg?lm=1
Morten Hjulmand,26,Denmark,Sporting,2023,2025,69,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/461496-1725633200.jpg?lm=1
Witi,29,Mozambique,Nacional,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/352425-1534846226.jpg?lm=1
Witi,23,Mozambique,Nacional,2020,2020,19,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/352425-1534846226.jpg?lm=1
Witi,21,Mozambique,Nacional,2018,2018,32,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/352425-1534846226.jpg?lm=1
Witi,19,Mozambique,Nacional,2014,2016,31,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/352425-1534846226.jpg?lm=1
Francisco Trincão,25,Portugal,Sporting,2022,2025,110,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/412669-1739308729.jpg?lm=1
Jan Bednarek,29,Poland,Porto,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/243028-1709158468.jpg?lm=1
Ghislain Konan,29,Cote d'Ivoire,Gil Vicente,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/422850-1697280059.png?lm=1
