player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Chris Richards,25,United States,Crystal Palace,2022,2025,70,Premier League,https://img.a.transfermarkt.technology/portrait/medium/578539-1754244701.jpg?lm=1
Josh King,18,England,Fulham,2024,2025,19,Premier League,https://img.a.transfermarkt.technology/portrait/medium/1011131-1752773470.jpg?lm=1
El Hadji Malick Diouf,20,Senegal,West Ham,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/1111589-1704978504.png?lm=1
Yankuba Minteh,21,The Gambia,Brighton,2024,2025,43,Premier League,https://img.a.transfermarkt.technology/portrait/medium/1012534-1694774813.jpg?lm=1
Florian Wirtz,22,Germany,Liverpool,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/598577-1689710503.jpg?lm=1
Benjamin Sesko,22,Slovenia,Man Utd,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/627442-1713897956.jpg?lm=1
Yasin Ayari,22,Sweden,Brighton,2024,2025,45,Premier League,https://img.a.transfermarkt.technology/portrait/medium/667287-1746438362.jpg?lm=1
Yasin Ayari,18,Sweden,Brighton,2022,2022,3,Premier League,https://img.a.transfermarkt.technology/portrait/medium/667287-1746438362.jpg?lm=1
Jérémy Doku,23,Belgium,Man City,2023,2025,69,Premier League,https://img.a.transfermarkt.technology/portrait/medium/486049-1743670159.jpg?lm=1
Morgan Rogers,23,England,Aston Villa,2023,2025,59,Premier League,https://img.a.transfermarkt.technology/portrait/medium/503743-1706786450.jpg?lm=1
Trai Hume,23,Northern Ireland,Sunderland,2025,2025,11,Premier League,https://img.a.transfermarkt.technology/portrait/medium/515544-1748348258.jpg?lm=1
Bart Verbruggen,23,Netherlands,Brighton,2023,2025,68,Premier League,https://img.a.transfermarkt.technology/portrait/medium/565093-1716990260.jpg?lm=1
Elliot Anderson,23,England,Nott'm Forest,2024,2025,48,Premier League,https://img.a.transfermarkt.technology/portrait/medium/567576-1696453772.jpg?lm=1
Nathan Collins,24,Ireland,Brentford,2023,2025,81,Premier League,https://img.a.transfermarkt.technology/portrait/medium/469050-1688381729.jpg?lm=1
Neco Williams,24,Wales,Nott'm Forest,2022,2025,103,Premier League,https://img.a.transfermarkt.technology/portrait/medium/503680-1705499825.jpg?lm=1
Micky van de Ven,24,Netherlands,Tottenham,2023,2025,51,Premier League,https://img.a.transfermarkt.technology/portrait/medium/557459-1744313600.jpg?lm=1
Jake O'Brien,24,Ireland,Everton,2024,2025,31,Premier League,https://img.a.transfermarkt.technology/portrait/medium/711544-1662362868.jpg?lm=1
Sandro Tonali,25,Italy,Newcastle,2023,2025,55,Premier League,https://img.a.transfermarkt.technology/portrait/medium/397033-1688389270.jpg?lm=1
Dominik Szoboszlai,25,Hungary,Liverpool,2023,2025,80,Premier League,https://img.a.transfermarkt.technology/portrait/medium/451276-1758715234.jpg?lm=1
Calvin Bassey,25,Nigeria,Fulham,2023,2025,75,Premier League,https://img.a.transfermarkt.technology/portrait/medium/461883-1662989506.jpg?lm=1
Pedro Neto,25,Portugal,Chelsea,2024,2025,46,Premier League,https://img.a.transfermarkt.technology/portrait/medium/487465-1709158892.jpg?lm=1
Antoine Semenyo,25,Ghana,Bournemouth,2022,2025,92,Premier League,https://img.a.transfermarkt.technology/portrait/medium/583255-1737452028.jpg?lm=1
Iliman Ndiaye,25,Senegal,Everton,2024,2025,44,Premier League,https://img.a.transfermarkt.technology/portrait/medium/623570-1651653048.png?lm=1
Donyell Malen,26,Netherlands,Aston Villa,2024,2025,25,Premier League,https://img.a.transfermarkt.technology/portrait/medium/326029-1711746104.jpg?lm=1
Tyler Adams,26,United States,Bournemouth,2023,2025,42,Premier League,https://img.a.transfermarkt.technology/portrait/medium/332705-1754244571.jpg?lm=1
