player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
David Watson,20,Scotland,Kilmarnock FC,2022,2025,79,Premiership,https://img.a.transfermarkt.technology/portrait/medium/931102-1757464833.jpg?lm=1
Martin Boyle,32,Australia,Hibernian FC,2017,2025,201,Premiership,https://img.a.transfermarkt.technology/portrait/medium/140554-1668506185.jpg?lm=1
Kieron Bowie,23,Scotland,Hibernian FC,2024,2025,25,Premiership,https://img.a.transfermarkt.technology/portrait/medium/647280-1755308021.jpg?lm=1
Henry Cartwright,20,England,Falkirk,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/866651-1746692873.jpg?lm=1
Imari Samuels,22,England,Dundee FC,2024,2025,14,Premiership,https://img.a.transfermarkt.technology/portrait/medium/565846-1724484681.jpg?lm=1
Marcus Dackers,22,Wales,Kilmarnock FC,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/583997-1757465106.jpg?lm=1
Josh Mulligan,22,Scotland,Hibernian FC,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/674809-1645618789.jpg?lm=1
Dylan Tait,23,Scotland,Falkirk,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/647281-1757499279.jpg?lm=1
Keelan Adams,23,Scotland,Falkirk,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/1073295-1757541585.jpg?lm=1
Ryan Astley,24,Wales,Dundee FC,2023,2025,34,Premiership,https://img.a.transfermarkt.technology/portrait/medium/511552-1757465587.jpg?lm=1
Oisin McEntee,24,Ireland,Heart of Midl.,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/541448-1757443031.jpg?lm=1
Jon McCracken,25,Scotland,Dundee FC,2023,2025,35,Premiership,https://img.a.transfermarkt.technology/portrait/medium/403564-1725873210.jpg?lm=1
Alfie Agyeman,25,Ghana,Falkirk,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/471938-1757541832.jpg?lm=1
Dominic Thompson,25,England,Kilmarnock FC,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/503688-1596444453.jpg?lm=1
Alexandros Kyziridis,25,Greece,Heart of Midl.,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/586538-1747842047.jpg?lm=1
Cláudio Braga,26,Portugal,Heart of Midl.,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/740596-1712103309.jpg?lm=1
Calvin Miller,27,Scotland,Falkirk,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/244261-1757540860.jpg?lm=1
Bruce Anderson,27,Scotland,Kilmarnock FC,2024,2025,37,Premiership,https://img.a.transfermarkt.technology/portrait/medium/382096-1621263455.jpg?lm=1
Cammy Devlin,27,Australia,Heart of Midl.,2021,2025,104,Premiership,https://img.a.transfermarkt.technology/portrait/medium/399162-1632992221.png?lm=1
Liam Henderson,29,Scotland,Falkirk,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/328429-1757541308.jpg?lm=1
Jamie McGrath,29,Ireland,Hibernian FC,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/344107-1625663939.jpg?lm=1
Harry Milne,29,Scotland,Heart of Midl.,2024,2025,13,Premiership,https://img.a.transfermarkt.technology/portrait/medium/411267-1757442878.jpg?lm=1
Brad Spencer,29,Scotland,Falkirk,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/531031-1757541726.jpg?lm=1
Stuart Findlay,30,Scotland,Heart of Midl.,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/165334-1646139593.jpg?lm=1
Lawrence Shankland,30,Scotland,Heart of Midl.,2022,2025,104,Premiership,https://img.a.transfermarkt.technology/portrait/medium/225744-1710925414.jpg?lm=1
Jérôme Prior,30,France,Livingston FC,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/238720-1448523099.jpg?lm=1
Mohamad Sylla,31,France,Livingston FC,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/526790-1738843782.jpg?lm=1
Scott Bain,33,Scotland,Falkirk,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/85627-1684505325.jpg?lm=1
Danny Wilson,33,Scotland,Livingston FC,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/103819-1678128921.jpg?lm=1
Scott Arfield,37,Canada,Falkirk,2025,2025,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/55291-1709368059.jpg?lm=1
Scott Arfield,20,Canada,Falkirk,2007,2009,108,Premiership,https://img.a.transfermarkt.technology/portrait/medium/55291-1709368059.jpg?lm=1
Luke Graham,21,Scotland,Dundee FC,2024,2025,14,Premiership,https://img.a.transfermarkt.technology/portrait/medium/1001839-1757540033.jpg?lm=1
Thibault Klidjé,24,Togo,Hibernian FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/575610-1746171398.png?lm=1
John Souttar,29,Scotland,Rangers,2022,2025,62,Premiership,https://img.a.transfermarkt.technology/portrait/medium/235767-1709884351.jpg?lm=1
Kasper Schmeichel,39,Denmark,Celtic,2024,2025,41,Premiership,https://img.a.transfermarkt.technology/portrait/medium/16911-1659600543.jpg?lm=1
Tawanda Maswanhise,22,Zimbabwe,Motherwell FC,2024,2025,38,Premiership,https://img.a.transfermarkt.technology/portrait/medium/670987-1757464557.jpg?lm=1
Benjamin Nygren,24,Sweden,Celtic,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/475949-1758813565.jpg?lm=1
Panutche Camara,28,Guinea-Bissau,Dundee United,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/512916-1642416297.png?lm=1
Killian Phillips,23,Ireland,St. Mirren,2024,2025,41,Premiership,https://img.a.transfermarkt.technology/portrait/medium/801420-1757766235.jpg?lm=1
Liam Scales,27,Ireland,Celtic,2023,2025,62,Premiership,https://img.a.transfermarkt.technology/portrait/medium/439497-1702505577.jpg?lm=1
Liam Scales,22,Ireland,Celtic,2021,2021,5,Premiership,https://img.a.transfermarkt.technology/portrait/medium/439497-1702505577.jpg?lm=1
Dimitar Mitov,28,Bulgaria,Aberdeen FC,2024,2025,30,Premiership,https://img.a.transfermarkt.technology/portrait/medium/264302-1645615695.jpg?lm=1
Djeidi Gassama,22,France,Rangers,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/795657-1644158204.png?lm=1
Zachary Sapsford,23,Australia,Dundee United,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/703657-1685084112.jpg?lm=1
Ibrahim Said,23,Nigeria,Motherwell FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/718318-1757464426.jpg?lm=1
Danny Finlayson,24,Northern Ireland,Livingston FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/424019-1587069339.jpg?lm=1
Emmanuel Longelo,24,England,Motherwell FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/504386-1675156614.jpg?lm=1
Lukas Fadinger,25,Austria,Motherwell FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/394018-1726056629.jpg?lm=1
Elliot Watt,25,Scotland,Motherwell FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/403574-1757463876.jpg?lm=1
Robbie Deas,25,Scotland,Kilmarnock FC,2023,2025,64,Premiership,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Lewis Smith,25,Scotland,Livingston FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/446712-1621262795.jpg?lm=1
Josh Campbell,25,Scotland,Hibernian FC,2021,2025,107,Premiership,https://img.a.transfermarkt.technology/portrait/medium/482802-1642066394.jpg?lm=1
Vicko Sevelj,25,Croatia,Dundee United,2024,2025,41,Premiership,https://img.a.transfermarkt.technology/portrait/medium/575209-1630995221.jpg?lm=1
Krisztián Keresztes,25,Hungary,Dundee United,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/626472-1696595204.jpg?lm=1
Calum Ward,25,England,Motherwell FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/655135-1757463518.jpg?lm=1
Bert Esselink,26,Netherlands,Dundee United,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/462059-1726671273.jpeg?lm=1
Yevgeniy Kucherenko,26,Ukraine,Dundee United,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/537841-1720636496.png?lm=1
Apostolos Stamatelopoulos,26,Australia,Motherwell FC,2024,2025,27,Premiership,https://img.a.transfermarkt.technology/portrait/medium/547924-1707859875.jpg?lm=1
Shamal George,27,England,St. Mirren,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/337290-1580114668.jpg?lm=1
Luke McCowan,27,Scotland,Celtic,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/468264-1626168231.jpg?lm=1
Jonah Ayunga,28,Kenya,St. Mirren,2022,2025,70,Premiership,https://img.a.transfermarkt.technology/portrait/medium/420777-1644930611.jpg?lm=1
Chris Cadden,29,Scotland,Hibernian FC,2020,2025,112,Premiership,https://img.a.transfermarkt.technology/portrait/medium/277782-1583509178.jpg?lm=1
Jack Iredale,29,Australia,Hibernian FC,2024,2025,34,Premiership,https://img.a.transfermarkt.technology/portrait/medium/524537-1660232389.jpg?lm=1
Drey Wright,30,England,Dundee FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/238468-1624008225.jpg?lm=1
Declan John,30,Wales,St. Mirren,2024,2025,24,Premiership,https://img.a.transfermarkt.technology/portrait/medium/238585-1643292511.png?lm=1
Craig Halkett,30,Scotland,Heart of Midl.,2021,2025,66,Premiership,https://img.a.transfermarkt.technology/portrait/medium/253817-1731012141.jpg?lm=1
Craig Halkett,24,Scotland,Heart of Midl.,2019,2019,24,Premiership,https://img.a.transfermarkt.technology/portrait/medium/253817-1731012141.jpg?lm=1
Mikael Mandron,31,France,St. Mirren,2023,2025,70,Premiership,https://img.a.transfermarkt.technology/portrait/medium/218144-1633439175.jpg?lm=1
Clark Robertson,32,Scotland,Dundee FC,2024,2025,28,Premiership,https://img.a.transfermarkt.technology/portrait/medium/119569-1757539898.jpg?lm=1
Callum McGregor,32,Scotland,Celtic,2014,2025,324,Premiership,https://img.a.transfermarkt.technology/portrait/medium/120977-1663161439.jpg?lm=1
Jack Butland,32,England,Rangers,2023,2025,70,Premiership,https://img.a.transfermarkt.technology/portrait/medium/128899-1672916012.jpg?lm=1
Stevie May,33,Scotland,Livingston FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/s_111432_2578_2014_04_08_1.jpg?lm=1
Scott Pittman,33,Scotland,Livingston FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/182614-1624630710.jpg?lm=1
Scott Pittman,30,Scotland,Livingston FC,2018,2023,166,Premiership,https://img.a.transfermarkt.technology/portrait/medium/182614-1624630710.jpg?lm=1
James Tavernier,34,England,Rangers,2016,2025,291,Premiership,https://img.a.transfermarkt.technology/portrait/medium/62094-1663162918.jpg?lm=1
Jeremy Bokila,36,DR Congo,Livingston FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/56490-1718023355.jpg?lm=1
Cameron Congreve,21,Wales,Dundee FC,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/667506-1713431445.jpg?lm=1
