team_name,logo_url
A.Sebatspor,https://tmssl.akamaized.net//images/wappen/small/1511.png?lm=1441244773
AC Milan,https://tmssl.akamaized.net//images/wappen/small/5.png?lm=1605166627
AC Parma,https://tmssl.akamaized.net//images/wappen/small/130_1405863037.png?lm=1405863037
AC Pisa,https://tmssl.akamaized.net//images/wappen/small/4172_1555321945.png?lm=1555321945
AC Siena,https://tmssl.akamaized.net//images/wappen/small/1387_1424700703.png?lm=1424700703
AC Venezia 1907,https://tmssl.akamaized.net//images/wappen/small/607_1570605757.png?lm=1570605757
AS Avellino,https://tmssl.akamaized.net//images/wappen/small/2331_1446218076.png?lm=1446218076
AS Gubbio,https://tmssl.akamaized.net//images/wappen/small/4326.png?lm=1662025586
AS Livorno,https://tmssl.akamaized.net//images/wappen/small/1210_1631009607.png?lm=1631009607
ASG Nocerina,https://tmssl.akamaized.net//images/wappen/small/4114_1474029319.png?lm=1474029319
Aberdeen FC,https://tmssl.akamaized.net//images/wappen/small/370.png?lm=1409146897
Acireale,https://tmssl.akamaized.net//images/wappen/small/4337_1569236187.png?lm=1569236187
Adana Demirspor,https://tmssl.akamaized.net//images/wappen/small/3840.png?lm=1753361832
Adanaspor,https://tmssl.akamaized.net//images/wappen/small/6.png?lm=1442130460
Akhisar Belediye,https://tmssl.akamaized.net//images/wappen/small/19771.png?lm=1604757093
Akhisarspor,https://tmssl.akamaized.net//images/wappen/small/19771.png?lm=1604757093
Alanyaspor,https://tmssl.akamaized.net//images/wappen/small/11282.png?lm=1753428907
Alessandria,https://tmssl.akamaized.net//images/wappen/small/2721_1740172386.png?lm=1740172389
Altay SK,https://tmssl.akamaized.net//images/wappen/small/2375.png?lm=1624497193
Alzano Virescit,https://tmssl.akamaized.net//images/wappen/small/4338_1557396724.png?lm=1557396724
Ancona,https://tmssl.akamaized.net//images/wappen/small/1388_1479991922.png?lm=1479991922
Andria,https://tmssl.akamaized.net//images/wappen/small/4085_1428656158.png?lm=1428656158
Ankaragücü,https://tmssl.akamaized.net//images/wappen/small/868.png?lm=1582635029
Ankaraspor,https://tmssl.akamaized.net//images/wappen/small/2944_1444100514.png?lm=1444100514
Antalyaspor,https://tmssl.akamaized.net//images/wappen/small/589.png?lm=1753428974
Arezzo,https://tmssl.akamaized.net//images/wappen/small/4255_1465637875.png?lm=1465637876
Arsenal,https://tmssl.akamaized.net//images/wappen/small/11.png?lm=1489787850
Ascoli,https://tmssl.akamaized.net//images/wappen/small/408_1401787207.png?lm=1401787199
Aston Villa,https://tmssl.akamaized.net//images/wappen/small/405.png?lm=1717155982
Atalanta,https://tmssl.akamaized.net//images/wappen/small/800.png?lm=1438547428
Avellino,https://tmssl.akamaized.net//images/wappen/small/2331.png?lm=1446296368
Aydinspor,https://tmssl.akamaized.net//images/wappen/small/45468.png?lm=1441339617
BB Ankaraspor,https://tmssl.akamaized.net//images/wappen/small/2944_1444100496.png?lm=1444100496
BB Erzurumspor,https://tmssl.akamaized.net//images/wappen/small/39722_1661508155.png?lm=1661508155
Bakirköyspor,https://tmssl.akamaized.net//images/wappen/small/3202.png?lm=1441965320
